0x5d ConvertRace
0x34f TriggerRegisterDialogEvent
0x351 TriggerRegisterDialogButtonEvent
0x353 GetEventGameState
0x354 TriggerRegisterGameEvent
0x356 GetWinningPlayer
0x357 TriggerRegisterEnterRegion
0x358 GetTriggeringRegion
0x359 GetEnteringUnit
0x35a TriggerRegisterLeaveRegion
0x35b GetLeavingUnit
0x35c TriggerRegisterTrackableHitEvent
0x35d TriggerRegisterTrackableTrackEvent
0x35e GetTriggeringTrackable
0x35f GetClickedButton
0x360 GetClickedDialog
0x361 GetTournamentFinishSoonTimeRemaining
0x362 GetTournamentFinishNowRule
0x363 GetTournamentFinishNowPlayer
0x364 GetTournamentScore
0x365 GetSaveBasicFilename
0x366 TriggerRegisterPlayerEvent
0x368 GetTriggerPlayer
0x369 TriggerRegisterPlayerUnitEvent
0x36b GetLevelingUnit
0x36c GetLearningUnit
0x36d GetLearnedSkill
0x36e GetLearnedSkillLevel
0x36f GetRevivableUnit
0x370 GetRevivingUnit
0x371 GetAttacker
0x372 GetRescuer
0x373 GetDyingUnit
0x374 GetKillingUnit
0x375 GetDecayingUnit
0x376 GetConstructingStructure
0x377 GetCancelledStructure
0x378 GetConstructedStructure
0x379 GetResearchingUnit
0x37a GetResearched
0x37b GetTrainedUnitType
0x37c GetTrainedUnit
0x37d GetDetectedUnit
0x37e GetSummoningUnit
0x37f GetSummonedUnit
0x380 GetTransportUnit
0x381 GetLoadedUnit
0x382 GetSellingUnit
0x383 GetSoldUnit
0x384 GetBuyingUnit
0x385 GetSoldItem
0x386 GetChangingUnit
0x387 GetChangingUnitPrevOwner
0x388 GetManipulatingUnit
0x389 GetManipulatedItem
0x38a GetOrderedUnit
0x38b GetIssuedOrderId
0x38c GetOrderPointX
0x38d GetOrderPointY
0x38e GetOrderPointLoc
0x38f GetOrderTarget
0x390 GetOrderTargetDestructable
0x391 GetOrderTargetItem
0x392 GetOrderTargetUnit
0x393 GetSpellAbilityUnit
0x394 GetSpellAbilityId
0x395 GetSpellAbility
0x396 GetSpellTargetLoc
0x397 GetSpellTargetX
0x398 GetSpellTargetY
0x399 GetSpellTargetDestructable
0x39a GetSpellTargetItem
0x39b GetSpellTargetUnit
0x39c TriggerRegisterPlayerAllianceChange
0x39e TriggerRegisterPlayerStateEvent
0x39f GetEventPlayerState
0x3a0 TriggerRegisterPlayerChatEvent
0x3a3 GetEventPlayerChatString
0x3a4 GetEventPlayerChatStringMatched
0x3a5 TriggerRegisterDeathEvent
0x3a7 GetTriggerUnit
0x3a8 TriggerRegisterUnitStateEvent
0x3a9 GetEventUnitState
0x3aa TriggerRegisterUnitEvent
0x3ac GetEventDamage
0x3ad GetEventDamageSource
0x3ae GetEventDetectingPlayer
0x3af TriggerRegisterFilterUnitEvent
0x3b0 GetEventTargetUnit
0x3b1 TriggerRegisterUnitInRange
0x3b3 TriggerAddCondition
0x3b5 TriggerRemoveCondition
0x3b7 TriggerClearConditions
0x3b8 TriggerAddAction
0x3ba TriggerRemoveAction
0x3bc TriggerClearActions
0x3bd TriggerSleepAction
0x3be TriggerWaitForSound
0x3c0 TriggerEvaluate
0x3c1 TriggerExecute
0x3c2 TriggerExecuteWait
0x3c3 TriggerSyncStart
0x3c4 TriggerSyncReady
0x3c5 GetWidgetLife
0x3c6 SetWidgetLife
0x3c8 GetWidgetX
0x3c9 GetWidgetY
0x3ca GetTriggerWidget
0x3cb CreateDestructable
0x3d0 CreateDestructableZ
0x3d2 CreateDeadDestructable
0x3d3 CreateDeadDestructableZ
0x3d4 RemoveDestructable
0x3d6 KillDestructable
0x3d7 SetDestructableInvulnerable
0x3d8 IsDestructableInvulnerable
0x3d9 EnumDestructablesInRect
0x3da GetDestructableTypeId
0x3db GetDestructableX
0x3dc GetDestructableY
0x3dd SetDestructableLife
0x3df GetDestructableLife
0x3e0 SetDestructableMaxLife
0x3e1 GetDestructableMaxLife
0x3e2 DestructableRestoreLife
0x3e4 QueueDestructableAnimation
0x3e6 SetDestructableAnimation
0x3e7 SetDestructableAnimationSpeed
0x3e9 ShowDestructable
0x3ea GetDestructableOccluderHeight
0x3eb SetDestructableOccluderHeight
0x3ed GetDestructableName
0x3ee GetTriggerDestructable
0x3ef CreateItem
0x3f1 RemoveItem
0x3f3 GetItemPlayer
0x3f4 GetItemTypeId
0x3f5 GetItemX
0x3f6 GetItemY
0x3f7 SetItemPosition
0x3f8 SetItemDropOnDeath
0x3f9 SetItemDroppable
0x3fa SetItemPawnable
0x3fb SetItemPlayer
0x3fd SetItemInvulnerable
0x3fe IsItemInvulnerable
0x3ff SetItemVisible
0x401 IsItemVisible
0x402 IsItemOwned
0x403 IsItemPowerup
0x404 IsItemSellable
0x405 IsItemPawnable
0x406 IsItemIdPowerup
0x408 IsItemIdSellable
0x409 IsItemIdPawnable
0x40a EnumItemsInRect
0x40b GetItemLevel
0x40c GetItemType
0x40d SetItemDropID
0x40e GetItemName
0x40f GetItemCharges
0x410 SetItemCharges
0x412 GetItemUserData
0x413 SetItemUserData
0x415 CreateUnit
0x418 CreateUnitByName
0x419 CreateUnitAtLoc
0x41a CreateUnitAtLocByName
0x41b CreateCorpse
0x41c KillUnit
0x41d RemoveUnit
0x41e ShowUnit
0x41f SetUnitState
0x422 SetUnitX
0x423 SetUnitY
0x424 SetUnitPosition
0x425 SetUnitPositionLoc
0x426 SetUnitFacing
0x428 SetUnitFacingTimed
0x42a SetUnitMoveSpeed
0x42c SetUnitFlyHeight
0x42e SetUnitTurnSpeed
0x430 SetUnitPropWindow
0x432 SetUnitAcquireRange
0x434 SetUnitCreepGuard
0x436 GetUnitAcquireRange
0x437 GetUnitTurnSpeed
0x438 GetUnitPropWindow
0x439 GetUnitFlyHeight
0x43a GetUnitDefaultAcquireRange
0x43b GetUnitDefaultTurnSpeed
0x43c GetUnitDefaultPropWindow
0x43d GetUnitDefaultFlyHeight
0x43e SetUnitOwner
0x43f SetUnitColor
0x441 SetUnitScale
0x445 SetUnitTimeScale
0x447 SetUnitBlendTime
0x449 SetUnitVertexColor
0x44e QueueUnitAnimation
0x44f SetUnitAnimation
0x450 SetUnitAnimationByIndex
0x451 SetUnitAnimationWithRarity
0x453 AddUnitAnimationProperties
0x456 SetUnitLookAt
0x45c ResetUnitLookAt
0x45d SetUnitRescuable
0x45f SetUnitRescueRange
0x460 SetHeroStr
0x464 SetHeroAgi
0x466 SetHeroInt
0x468 GetHeroStr
0x46a GetHeroAgi
0x46b GetHeroInt
0x46c UnitStripHeroLevel
0x46e GetHeroXP
0x46f SetHeroXP
0x472 GetHeroSkillPoints
0x473 UnitModifySkillPoints
0x475 AddHeroXP
0x477 SetHeroLevel
0x479 GetHeroLevel
0x47a GetUnitLevel
0x47b GetHeroProperName
0x47c SuspendHeroXP
0x47d IsSuspendedXP
0x47e SelectHeroSkill
0x480 GetUnitAbilityLevel
0x481 DecUnitAbilityLevel
0x482 IncUnitAbilityLevel
0x483 SetUnitAbilityLevel
0x484 ReviveHero
0x486 ReviveHeroLoc
0x488 SetUnitExploded
0x48a SetUnitInvulnerable
0x48b PauseUnit
0x48c IsUnitPaused
0x48d SetUnitPathing
0x48e ClearSelection
0x48f SelectUnit
0x490 GetUnitPointValue
0x491 GetUnitPointValueByType
0x493 UnitAddItem
0x494 UnitAddItemById
0x495 UnitAddItemToSlotById
0x497 UnitRemoveItem
0x498 UnitRemoveItemFromSlot
0x499 UnitHasItem
0x49a UnitItemInSlot
0x49b UnitInventorySize
0x49c UnitDropItemPoint
0x49d UnitDropItemSlot
0x49f UnitDropItemTarget
0x4a1 UnitUseItem
0x4a2 UnitUseItemPoint
0x4a3 UnitUseItemTarget
0x4a4 GetUnitX
0x4a5 GetUnitY
0x4a6 GetUnitLoc
0x4a7 GetUnitFacing
0x4a8 GetUnitMoveSpeed
0x4a9 GetUnitDefaultMoveSpeed
0x4aa GetUnitState
0x4ab GetOwningPlayer
0x4ac GetUnitTypeId
0x4ad GetUnitRace
0x4ae GetUnitName
0x4af GetUnitFoodUsed
0x4b0 GetUnitFoodMade
0x4b1 GetFoodMade
0x4b2 GetFoodUsed
0x4b3 SetUnitUseFood
0x4b5 GetUnitRallyPoint
0x4b6 GetUnitRallyUnit
0x4b7 GetUnitRallyDestructable
0x4b8 IsUnitInGroup
0x4b9 IsUnitInForce
0x4ba IsUnitOwnedByPlayer
0x4bb IsUnitAlly
0x4bc IsUnitEnemy
0x4bd IsUnitVisible
0x4be IsUnitDetected
0x4bf IsUnitInvisible
0x4c0 IsUnitFogged
0x4c1 IsUnitMasked
0x4c2 IsUnitSelected
0x4c3 IsUnitRace
0x4c5 IsUnitType
0x4c7 IsUnit
0x4c9 IsUnitInRange
0x4cc IsUnitInRangeXY
0x4cd IsUnitInRangeLoc
0x4ce IsUnitHidden
0x4cf IsUnitIllusion
0x4d0 IsUnitInTransport
0x4d2 IsUnitLoaded
0x4d3 IsHeroUnitId
0x4d4 IsUnitIdType
0x4d5 UnitShareVision
0x4d7 UnitSuspendDecay
0x4d9 UnitAddType
0x4da UnitRemoveType
0x4db UnitAddAbility
0x4dc UnitRemoveAbility
0x4dd UnitMakeAbilityPermanent
0x4de UnitRemoveBuffs
0x4e1 UnitRemoveBuffsEx
0x4e7 UnitHasBuffsEx
0x4e8 UnitCountBuffsEx
0x4e9 UnitAddSleep
0x4ea UnitCanSleep
0x4eb UnitAddSleepPerm
0x4ec UnitCanSleepPerm
0x4ed UnitIsSleeping
0x4ee UnitWakeUp
0x4ef UnitApplyTimedLife
0x4f1 UnitIgnoreAlarm
0x4f2 UnitIgnoreAlarmToggled
0x4f3 UnitResetCooldown
0x4f4 UnitSetConstructionProgress
0x4f6 UnitSetUpgradeProgress
0x4f8 UnitPauseTimedLife
0x4f9 UnitSetUsesAltIcon
0x4fa UnitDamagePoint
0x502 UnitDamageTarget
0x503 IssueImmediateOrder
0x504 IssueImmediateOrderById
0x505 IssuePointOrder
0x506 IssuePointOrderLoc
0x507 IssuePointOrderById
0x508 IssuePointOrderByIdLoc
0x509 IssueTargetOrder
0x50a IssueTargetOrderById
0x50b IssueInstantPointOrder
0x50d IssueInstantPointOrderById
0x50e IssueInstantTargetOrder
0x50f IssueInstantTargetOrderById
0x510 IssueBuildOrder
0x513 IssueBuildOrderById
0x514 IssueNeutralImmediateOrder
0x517 IssueNeutralImmediateOrderById
0x518 IssueNeutralPointOrder
0x519 IssueNeutralPointOrderById
0x51a IssueNeutralTargetOrder
0x51b IssueNeutralTargetOrderById
0x51c GetUnitCurrentOrder
0x51d SetResourceAmount
0x51e AddResourceAmount
0x51f GetResourceAmount
0x520 WaygateGetDestinationX
0x522 WaygateGetDestinationY
0x523 WaygateSetDestination
0x524 WaygateActivate
0x526 WaygateIsActive
0x527 AddItemToAllStock
0x52a AddItemToStock
0x52b AddUnitToAllStock
0x52c AddUnitToStock
0x52d RemoveItemFromAllStock
0x52e RemoveItemFromStock
0x52f RemoveUnitFromAllStock
0x530 RemoveUnitFromStock
0x531 SetAllItemTypeSlots
0x533 SetAllUnitTypeSlots
0x534 SetItemTypeSlots
0x535 SetUnitTypeSlots
0x536 GetUnitUserData
0x537 SetUnitUserData
0x538 Player
0x53a GetLocalPlayer
0x53b IsPlayerAlly
0x53c IsPlayerEnemy
0x53d IsPlayerInForce
0x53e IsPlayerObserver
0x53f IsVisibleToPlayer
0x540 IsLocationVisibleToPlayer
0x541 IsFoggedToPlayer
0x542 IsLocationFoggedToPlayer
0x543 IsMaskedToPlayer
0x544 IsLocationMaskedToPlayer
0x545 GetPlayerRace
0x546 GetPlayerId
0x547 GetPlayerUnitCount
0x549 GetPlayerTypedUnitCount
0x54c GetPlayerStructureCount
0x54d GetPlayerState
0x54f GetPlayerScore
0x551 GetPlayerAlliance
0x552 GetPlayerHandicap
0x553 GetPlayerHandicapXP
0x554 SetPlayerHandicap
0x556 SetPlayerHandicapXP
0x557 SetPlayerTechMaxAllowed
0x55a GetPlayerTechMaxAllowed
0x55b AddPlayerTechResearched
0x55d SetPlayerTechResearched
0x55f GetPlayerTechResearched
0x561 GetPlayerTechCount
0x562 SetPlayerUnitsOwner
0x564 CripplePlayer
0x566 SetPlayerAbilityAvailable
0x569 SetPlayerState
0x56a RemovePlayer
0x56c CachePlayerHeroData
0x56d SetFogStateRect
0x570 SetFogStateRadius
0x573 SetFogStateRadiusLoc
0x575 FogMaskEnable
0x577 IsFogMaskEnabled
0x578 FogEnable
0x579 IsFogEnabled
0x57a CreateFogModifierRect
0x57c CreateFogModifierRadius
0x57d CreateFogModifierRadiusLoc
0x57e DestroyFogModifier
0x580 FogModifierStart
0x581 FogModifierStop
0x582 VersionGet
0x583 VersionCompatible
0x585 VersionSupported
0x586 EndGame
0x588 ChangeLevel
0x58a RestartGame
0x58b ReloadGame
0x58c SetCampaignMenuRace
0x58d SetCampaignMenuRaceEx
0x58f ForceCampaignSelectScreen
0x590 LoadGame
0x592 SaveGame
0x593 RenameSaveDirectory
0x596 RemoveSaveDirectory
0x597 CopySaveGame
0x59a SaveGameExists
0x59c SyncSelections
0x59d SetFloatGameState
0x59f GetFloatGameState
0x5a0 SetIntegerGameState
0x5a2 GetIntegerGameState
0x5a3 SetTutorialCleared
0x5a5 SetMissionAvailable
0x5a9 SetCampaignAvailable
0x5aa SetOpCinematicAvailable
0x5ab SetEdCinematicAvailable
0x5ac GetDefaultDifficulty
0x5ad SetDefaultDifficulty
0x5af SetCustomCampaignButtonVisible
0x5b1 GetCustomCampaignButtonVisible
0x5b2 DoNotSaveReplay
0x5b3 DialogCreate
0x5b4 DialogDestroy
0x5b5 DialogClear
0x5b6 DialogSetMessage
0x5b8 DialogAddButton
0x5bb DialogAddQuitButton
0x5bc DialogDisplay
0x5bd ReloadGameCachesFromDisk
0x5be InitGameCache
0x5c0 SaveGameCache
0x5c2 StoreInteger
0x5c6 StoreReal
0x5c7 StoreBoolean
0x5c8 StoreUnit
0x5c9 StoreString
0x5ca SyncStoredInteger
0x5cb SyncStoredReal
0x5cc SyncStoredBoolean
0x5cd SyncStoredUnit
0x5ce SyncStoredString
0x5cf HaveStoredInteger
0x5d0 HaveStoredReal
0x5d1 HaveStoredBoolean
0x5d2 HaveStoredUnit
0x5d3 HaveStoredString
0x5d4 FlushGameCache
0x5d5 FlushStoredMission
0x5d6 FlushStoredInteger
0x5d7 FlushStoredReal
0x5d8 FlushStoredBoolean
0x5d9 FlushStoredUnit
0x5da FlushStoredString
0x5db GetStoredInteger
0x5dc GetStoredReal
0x5dd GetStoredBoolean
0x5de GetStoredString
0x5df RestoreUnit
0x5e1 InitHashtable
0x5e2 SaveInteger
0x5e6 SaveReal
0x5e7 SaveBoolean
0x5e8 SaveStr
0x5e9 SavePlayerHandle
0x5ea SaveWidgetHandle
0x5eb SaveDestructableHandle
0x5ed SaveItemHandle
0x5ee SaveUnitHandle
0x5ef SaveAbilityHandle
0x5f1 SaveTimerHandle
0x5f2 SaveTriggerHandle
0x5f3 SaveTriggerConditionHandle
0x5f5 SaveTriggerActionHandle
0x5f7 SaveTriggerEventHandle
0x5f8 SaveForceHandle
0x5f9 SaveGroupHandle
0x5fa SaveLocationHandle
0x5fb SaveRectHandle
0x5fc SaveBooleanExprHandle
0x5fe SaveSoundHandle
0x600 SaveEffectHandle
0x602 SaveUnitPoolHandle
0x604 SaveItemPoolHandle
0x606 SaveQuestHandle
0x608 SaveQuestItemHandle
0x60a SaveDefeatConditionHandle
0x60c SaveTimerDialogHandle
0x60e SaveLeaderboardHandle
0x610 SaveMultiboardHandle
0x612 SaveMultiboardItemHandle
0x614 SaveTrackableHandle
0x616 SaveDialogHandle
0x617 SaveButtonHandle
0x618 SaveTextTagHandle
0x61a SaveLightningHandle
0x61c SaveImageHandle
0x61e SaveUbersplatHandle
0x620 SaveRegionHandle
0x621 SaveFogStateHandle
0x623 SaveFogModifierHandle
0x624 SaveAgentHandle
0x626 SaveHashtableHandle
0x628 LoadInteger
0x629 LoadReal
0x62a LoadBoolean
0x62b LoadStr
0x62c LoadPlayerHandle
0x62d LoadWidgetHandle
0x62e LoadDestructableHandle
0x62f LoadItemHandle
0x630 LoadUnitHandle
0x631 LoadAbilityHandle
0x632 LoadTimerHandle
0x633 LoadTriggerHandle
0x634 LoadTriggerConditionHandle
0x635 LoadTriggerActionHandle
0x636 LoadTriggerEventHandle
0x637 LoadForceHandle
0x638 LoadGroupHandle
0x639 LoadLocationHandle
0x63a LoadRectHandle
0x63b LoadBooleanExprHandle
0x63c LoadSoundHandle
0x63d LoadEffectHandle
0x63e LoadUnitPoolHandle
0x63f LoadItemPoolHandle
0x640 LoadQuestHandle
0x641 LoadQuestItemHandle
0x642 LoadDefeatConditionHandle
0x643 LoadTimerDialogHandle
0x644 LoadLeaderboardHandle
0x645 LoadMultiboardHandle
0x646 LoadMultiboardItemHandle
0x647 LoadTrackableHandle
0x648 LoadDialogHandle
0x649 LoadButtonHandle
0x64a LoadTextTagHandle
0x64b LoadLightningHandle
0x64c LoadImageHandle
0x64d LoadUbersplatHandle
0x64e LoadRegionHandle
0x64f LoadFogStateHandle
0x650 LoadFogModifierHandle
0x651 LoadHashtableHandle
0x652 HaveSavedInteger
0x653 HaveSavedReal
0x654 HaveSavedBoolean
0x655 HaveSavedString
0x656 HaveSavedHandle
0x657 RemoveSavedInteger
0x658 RemoveSavedReal
0x659 RemoveSavedBoolean
0x65a RemoveSavedString
0x65b RemoveSavedHandle
0x65c FlushParentHashtable
0x65d FlushChildHashtable
0x65e GetRandomInt
0x661 GetRandomReal
0x662 CreateUnitPool
0x663 DestroyUnitPool
0x665 UnitPoolAddUnitType
0x667 UnitPoolRemoveUnitType
0x668 PlaceRandomUnit
0x669 CreateItemPool
0x66a DestroyItemPool
0x66c ItemPoolAddItemType
0x66d ItemPoolRemoveItemType
0x66e PlaceRandomItem
0x66f ChooseRandomCreep
0x670 ChooseRandomNPBuilding
0x671 ChooseRandomItem
0x672 ChooseRandomItemEx
0x674 SetRandomSeed
0x676 SetTerrainFog
0x679 ResetTerrainFog
0x67a SetUnitFog
0x67b SetTerrainFogEx
0x680 DisplayTextToPlayer
0x683 DisplayTimedTextToPlayer
0x684 DisplayTimedTextFromPlayer
0x685 ClearTextMessages
0x686 SetDayNightModels
0x689 SetSkyModel
0x68b EnableUserControl
0x68c EnableUserUI
0x68d SuspendTimeOfDay
0x68e SetTimeOfDayScale
0x68f GetTimeOfDayScale
0x690 ShowInterface
0x692 PauseGame
0x693 UnitAddIndicator
0x694 AddIndicator
0x695 PingMinimap
0x696 PingMinimapEx
0x698 EnableOcclusion
0x699 SetIntroShotText
0x69b SetIntroShotModel
0x69d EnableWorldFogBoundary
0x69e PlayModelCinematic
0x6a0 PlayCinematic
0x6a2 ForceUIKey
0x6a3 ForceUICancel
0x6a4 DisplayLoadDialog
0x6a5 SetAltMinimapIcon
0x6a7 DisableRestartMission
0x6a8 CreateTextTag
0x6a9 DestroyTextTag
0x6aa SetTextTagText
0x6ab SetTextTagPos
0x6ad SetTextTagPosUnit
0x6ae SetTextTagColor
0x6af SetTextTagVelocity
0x6b2 SetTextTagVisibility
0x6b3 SetTextTagSuspended
0x6b4 SetTextTagPermanent
0x6b5 SetTextTagAge
0x6b7 SetTextTagLifespan
0x6b9 SetTextTagFadepoint
0x6bb SetReservedLocalHeroButtons
0x6bd GetAllyColorFilterState
0x6be SetAllyColorFilterState
0x6c0 GetCreepCampFilterState
0x6c1 SetCreepCampFilterState
0x6c2 EnableMinimapFilterButtons
0x6c5 EnableDragSelect
0x6c7 EnablePreSelect
0x6c8 EnableSelect
0x6c9 CreateTrackable
0x6cb CreateQuest
0x6cc DestroyQuest
0x6cd QuestSetTitle
0x6cf QuestSetDescription
0x6d0 QuestSetIconPath
0x6d1 QuestSetRequired
0x6d3 QuestSetCompleted
0x6d5 QuestSetDiscovered
0x6d7 QuestSetFailed
0x6d9 QuestSetEnabled
0x6db IsQuestRequired
0x6dc IsQuestCompleted
0x6dd IsQuestDiscovered
0x6de IsQuestFailed
0x6df IsQuestEnabled
0x6e0 QuestCreateItem
0x6e1 QuestItemSetDescription
0x6e3 QuestItemSetCompleted
0x6e4 IsQuestItemCompleted
0x6e5 CreateDefeatCondition
0x6e6 DestroyDefeatCondition
0x6e7 DefeatConditionSetDescription
0x6e8 FlashQuestDialogButton
0x6e9 ForceQuestDialogUpdate
0x6ea CreateTimerDialog
0x6eb DestroyTimerDialog
0x6ec TimerDialogSetTitle
0x6ed TimerDialogSetTitleColor
0x6ee TimerDialogSetTimeColor
0x6ef TimerDialogSetSpeed
0x6f1 TimerDialogDisplay
0x6f3 IsTimerDialogDisplayed
0x6f4 TimerDialogSetRealTimeRemaining
0x6f6 CreateLeaderboard
0x6f7 DestroyLeaderboard
0x6f9 LeaderboardDisplay
0x6fa IsLeaderboardDisplayed
0x6fb LeaderboardGetItemCount
0x6fc LeaderboardSetSizeByItemCount
0x6fe LeaderboardAddItem
0x701 LeaderboardRemoveItem
0x703 LeaderboardRemovePlayerItem
0x704 LeaderboardClear
0x705 LeaderboardSortItemsByValue
0x707 LeaderboardSortItemsByPlayer
0x708 LeaderboardSortItemsByLabel
0x709 LeaderboardHasPlayerItem
0x70a LeaderboardGetPlayerIndex
0x70b LeaderboardSetLabel
0x70c LeaderboardGetLabelText
0x70d PlayerSetLeaderboard
0x70e PlayerGetLeaderboard
0x70f LeaderboardSetLabelColor
